,time,close,RSI,Signal
16,2010-01-25,0.00329826,80.28987982883098,Sell
17,2010-02-01,0.00373511,82.87762774351113,Sell
18,2010-02-08,0.00405351,84.47728112957904,Sell
19,2010-02-15,0.00466157,86.97912490493049,Sell
20,2010-02-22,0.00529801,88.98097393022309,Sell
21,2010-03-01,0.00547226,89.4588119606942,Sell
33,2010-07-12,0.08584,97.95480799961132,Sell
46,2010-10-11,0.102,80.18445976280512,Sell
47,2010-10-18,0.11501,82.66395569280392,Sell
48,2010-10-25,0.1925,90.38286800273012,Sell
49,2010-11-01,0.34,94.9720102824272,Sell
61,2011-01-24,0.4799,81.30158013776634,Sell
62,2011-01-31,0.8975,90.76050602934058,Sell
63,2011-02-07,1.05,92.29364040907696,Sell
73,2011-04-18,1.6311,81.12343354737112,Sell
74,2011-04-25,3.03311,90.0688754783036,Sell
75,2011-05-02,3.8659,92.37909978302685,Sell
76,2011-05-09,6.98701,96.0694487745902,Sell
77,2011-05-16,6.6901,91.5287855038778,Sell
78,2011-05-23,8.4299,93.47494130502372,Sell
79,2011-05-30,16.7,97.001429030586,Sell
80,2011-06-06,18.5464,97.3462668691442,Sell
81,2011-06-13,17.51,91.0189620516217,Sell
139,2012-07-30,10.86998,81.91759011855027,Sell
140,2012-08-06,11.62399,83.67188259493766,Sell
164,2013-01-21,17.81821,83.3945410634324,Sell
165,2013-01-28,20.59,87.40648298998207,Sell
166,2013-02-04,23.96975,90.4395978262262,Sell
167,2013-02-11,26.8146,92.15282397359007,Sell
168,2013-02-18,29.88999,93.5073465903764,Sell
169,2013-02-25,34.49999,94.92225713120878,Sell
170,2013-03-04,46.0,96.79728310663846,Sell
171,2013-03-11,47.4,96.94517274319276,Sell
172,2013-03-18,71.5,98.3541135561692,Sell
173,2013-03-25,93.03001,98.85997561392008,Sell
174,2013-04-01,162.30102,99.44791342843573,Sell
205,2013-11-04,336.33101,85.33886877951818,Sell
206,2013-11-11,528.31991,91.41691713911096,Sell
207,2013-11-18,795.0,94.70228692868184,Sell
208,2013-11-25,1004.42392,95.9978412794206,Sell
267,2015-01-12,211.03,28.18594548763745,Buy
340,2016-06-06,672.0,80.02523448735714,Sell
341,2016-06-13,767.3,84.04176567391971,Sell
368,2016-12-19,895.14225,82.11653548250827,Sell
369,2016-12-26,996.34775,86.11834318055007,Sell
378,2017-02-27,1273.4885,80.3099174140715,Sell
389,2017-05-15,2027.914,82.70555864542635,Sell
390,2017-05-22,2194.89325,84.64329552829233,Sell
391,2017-05-29,2523.05775,87.58691557867944,Sell
392,2017-06-05,2959.51975,90.26081885205949,Sell
404,2017-08-28,4621.195,81.60256170561826,Sell
413,2017-10-30,7384.79,83.99265811216303,Sell
417,2017-11-27,11251.5775,81.8748343846964,Sell
418,2017-12-04,15037.4975,87.0108512461143,Sell
419,2017-12-11,19128.2725,90.23176669766656,Sell
471,2018-12-10,3192.87,28.822060464511974,Buy
572,2020-11-16,18442.9925,84.14546153712885,Sell
573,2020-11-23,18197.3175,82.06904836112994,Sell
574,2020-11-30,19382.2675,84.10624660620252,Sell
575,2020-12-07,19164.8025,82.25915587089668,Sell
576,2020-12-14,23478.995,87.9247986854119,Sell
577,2020-12-21,26259.1225,90.11548482770118,Sell
578,2020-12-28,33096.3175,93.32348082542632,Sell
579,2021-01-04,38173.345,94.69921586038794,Sell
580,2021-01-11,35822.635,85.8759295848079,Sell
583,2021-02-01,38868.57,80.18232812903597,Sell
584,2021-02-08,48660.45,85.36693149178033,Sell
585,2021-02-15,57492.04,88.33190251133419,Sell
654,2022-06-13,20552.98,25.59905786827653,Buy
655,2022-06-20,21029.53,26.61689866144974,Buy
656,2022-06-27,19292.67,25.26050880137633,Buy
657,2022-07-04,20843.12,28.750976590721265,Buy
658,2022-07-11,20793.29,28.704578247516025,Buy
731,2023-12-04,43801.2,83.25300168813831,Sell
741,2024-02-12,52147.67,80.07743621424783,Sell
743,2024-02-26,63153.53,86.01577937093658,Sell
744,2024-03-04,69090.75,88.2817128461493,Sell
745,2024-03-11,68343.27,86.3839451870543,Sell
746,2024-03-18,67208.32,83.45059727713524,Sell
747,2024-03-25,71316.08,85.38498222703888,Sell
748,2024-04-01,69374.42,80.58992142880804,Sell
